ID,Zone,Woreda,Kebele,Forest name,Area in hec.,X,Y,Remark
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354232,966928,
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354215,966885,
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354264,966828,
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354162,966803,
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354154,966769,
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354199,966736,
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354195,966705,
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354408,966827,
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354332,966917,
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354138,966692,
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354140,966638,
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354211,966615,
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354275,966434,
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354246,966404,
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354315,966363,
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354283,966255,
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354364,966083,
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354251,965986,
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354344,965838,
,,,,,,,,
,West Showa,DireInchini,Arfingo Dage,Digo forest,9.54ha,353943,970170,
,West Showa,DireInchini,Arfingo Dage,Digo forest,,353993,970143,
6,West Showa,DireInchini,Arfingo Dage,Digo forest,,354035,970187,
,West Showa,DireInchini,Arfingo Dage,Digo forest,,354018,970215,
,West Showa,DireInchini,Arfingo Dage,Digo forest,,354127,970247,
,West Showa,DireInchini,Arfingo Dage,Digo forest,,354139,970227,
,West Showa,DireInchini,Arfingo Dage,Digo forest,,354165,970177,
,West Showa,DireInchini,Arfingo Dage,Digo forest,,354133,970086,
,West Showa,DireInchini,Arfingo Dage,Digo forest,,354154,970080,
,West Showa,DireInchini,Arfingo Dage,Digo forest,,354193,970144,
,West Showa,DireInchini,Arfingo Dage,Digo forest,,354213,970255,
,West Showa,DireInchini,Arfingo Dage,Digo forest,,354157,970324,
,West Showa,DireInchini,Arfingo Dage,Digo forest,,354153,970385,
,West Showa,DireInchini,Arfingo Dage,Digo forest,,354167,970446,
,West Showa,DireInchini,Arfingo Dage,Digo forest,,354231,970487,
,West Showa,DireInchini,Arfingo Dage,Digo forest,,354203,970516,
,West Showa,DireInchini,Arfingo Dage,Digo forest,,354163,970508,
,West Showa,DireInchini,Arfingo Dage,Digo forest,,354189,970572,
,West Showa,DireInchini,Arfingo Dage,Digo forest,,354145,970612,
,West Showa,DireInchini,Arfingo Dage,Digo forest,,354140,970607,
,West Showa,DireInchini,Arfingo Dage,Digo forest,,354150,970574,
,West Showa,DireInchini,Arfingo Dage,Digo forest,,354141,970573,
,West Showa,DireInchini,Arfingo Dage,Digo forest,,354102,970615,
,West Showa,DireInchini,Arfingo Dage,Digo forest,,354073,970579,
,West Showa,DireInchini,Arfingo Dage,Digo forest,,354085,970545,
,West Showa,DireInchini,Arfingo Dage,Digo forest,,354051,970479,
,West Showa,DireInchini,Arfingo Dage,Digo forest,,354053,970448,
,West Showa,DireInchini,Arfingo Dage,Digo forest,,353921,970487,
,West Showa,DireInchini,Arfingo Dage,Digo forest,,353875,970401,
,West Showa,DireInchini,Arfingo Dage,Digo forest,,353939,970314,
,West Showa,DireInchini,Arfingo Dage,Digo forest,,353933,970251,
,West Showa,DireInchini,Arfingo Dage,Digo forest,,353812,970228,
,West Showa,DireInchini,Arfingo Dage,Digo forest,,353847,970187,
,West Showa,DireInchini,Arfingo Dage,Digo forest,,353940,970197,
,,,,,,,,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,201.67 ha,350640,967147,
7,West Showa,DireInchini,Buyama Daballe,Daballe forest,,350606,967270,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,350594,967390,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,350516,967526,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,350509,967618,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,350372,967719,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,350306,967702,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,350193,967643,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,350077,967611,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,350019,967636,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,350001,967686,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,350033,967787,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,350054,967850,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,350097,967903,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,350126,967985,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,350043,968041,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349998,968054,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,350011,968130,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349933,968134,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349893,968149,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349853,968183,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349747,968154,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349719,968165,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349688,968173,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349667,968192,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349647,968196,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349579,968264,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349504,968311,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349505,968407,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349584,968470,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349575,968528,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349575,968560,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349660,968671,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349752,968738,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349777,968753,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349893,968827,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,350063,968952,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,340070,968902,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,340069,968915,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,340054,968940,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,340067,968958,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,340066,968946,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,340017,968933,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349998,968944,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349946,968944,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349941,968972,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349865,969037,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349792,968972,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349834,968920,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349769,968855,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349775,968816,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349724,968779,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349741,968779,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349722,968832,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349659,968826,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349576,968788,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349560,968789,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349532,968795,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349507,968835,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349527,968928,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349417,968878,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349347,968926,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349292,968939,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349195,968994,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349123,969037,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349083,969088,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349064,969109,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,348977,969110,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,348899,969134,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,348870,969134,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,348809,969153,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,348835,969230,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,348769,969228,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,348718,969250,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,348683,969224,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,348668,969177,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,348641,969153,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,348622,969131,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,348591,969166,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,348191,969165,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,348474,969051,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,348443,969050,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,348418,968972,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,348317,968974,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,348283,968837,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,348238,968877,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,348175,968874,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,348066,968853,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,348022,968822,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,347967,968832,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,347962,968868,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,347875,968920,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,347847,968917,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,347797,968869,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,347777,968856,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,347740,968879,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,347703,968930,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,347666,968878,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,347762,968757,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,347831,968720,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,347849,968717,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,347868,968753,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,347890,968745,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,347913,968761,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,348014,968707,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,348107,968623,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,348103,968601,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,348157,968582,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,348144,968533,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,348163,968516,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,348197,968532,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,348246,968511,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,348244,968489,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,348280,968470,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,348275,968380,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,348352,968345,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,348401,968356,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,348452,968387,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,348432,968429,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,348457,968473,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,348483,968458,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,348530,968466,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,348568,968434,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,348632,968432,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,348678,968376,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,348781,968393,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,348832,968366,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,348868,968393,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,348933,968326,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,348999,968360,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349014,968353,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349017,968326,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349041,968337,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349072,968313,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349138,968360,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349333,968294,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349299,968191,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349319,968159,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349299,968123,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349339,968018,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349320,967988,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349325,967867,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349297,967845,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349298,967825,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349314,967817,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349317,967563,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349407,967535,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349502,967525,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349562,967498,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349629,967477,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349675,967346,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349644,967344,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349643,967318,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349693,967316,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349687,967260,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349718,967216,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349764,967229,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349771,967316,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349830,967322,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349902,967287,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349972,967217,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,350053,967040,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,350075,966929,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,350104,966901,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,350113,966853,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,350162,966878,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,350164,966906,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,350291,966959,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,350285,967005,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,350346,967031,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,350368,967061,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,350492,967077,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,350527,967126,
,,,,,,,,
,West Showa,DireInchini,Buyama Daballe,Daballe bamboo forest,1.9ha,352687,965752,
,West Showa,DireInchini,Buyama Daballe,Daballe bamboo forest,,352702,965729,
,West Showa,DireInchini,Buyama Daballe,Daballe bamboo forest,,352717,965715,
,West Showa,DireInchini,Buyama Daballe,Daballe bamboo forest,,352734,965702,
8,West Showa,DireInchini,Buyama Daballe,Daballe bamboo forest,,352730,965663,
,West Showa,DireInchini,Buyama Daballe,Daballe bamboo forest,,352757,965637,
,West Showa,DireInchini,Buyama Daballe,Daballe bamboo forest,,352765,965642,
,West Showa,DireInchini,Buyama Daballe,Daballe bamboo forest,,352769,965642,
,West Showa,DireInchini,Buyama Daballe,Daballe bamboo forest,,352769,965636,
,West Showa,DireInchini,Buyama Daballe,Daballe bamboo forest,,352765,965632,
,West Showa,DireInchini,Buyama Daballe,Daballe bamboo forest,,352772,965619,
,West Showa,DireInchini,Buyama Daballe,Daballe bamboo forest,,352781,965622,
,West Showa,DireInchini,Buyama Daballe,Daballe bamboo forest,,352781,965634,
,West Showa,DireInchini,Buyama Daballe,Daballe bamboo forest,,352786,965637,
,West Showa,DireInchini,Buyama Daballe,Daballe bamboo forest,,352781,965646,
,West Showa,DireInchini,Buyama Daballe,Daballe bamboo forest,,352798,965674,
,West Showa,DireInchini,Buyama Daballe,Daballe bamboo forest,,352824,965687,
,West Showa,DireInchini,Buyama Daballe,Daballe bamboo forest,,352824,965692,
