ID,Zone,Woreda,Kebele,Forest name,Area in hec.,X,Y,Remark,Latitude,Longitude
,West Showa,DireInchini,Buyama Roge,Atete,,348295.0,964452.0,, 8.72252° N, 37.62095° E
,West Showa,DireInchini,Buyama Roge,Atete,,348352.0,964421.0,, 8.72224° N, 37.62147° E
,West Showa,DireInchini,Buyama Roge,Atete,,348334.0,964357.0,, 8.72166° N, 37.62130° E
,,,,,,,,, nan° N, nan° E
,West Showa,DireInchini,Arfingo Dage,Adula forest,74.14 ha,354391.0,965674.0,, 8.73377° N, 37.67631° E
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354533.0,965638.0,, 8.73345° N, 37.67760° E
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354567.0,965801.0,, 8.73492° N, 37.67791° E
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354649.0,965834.0,, 8.73522° N, 37.67865° E
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354599.0,965908.0,, 8.73589° N, 37.67820° E
5.0,West Showa,DireInchini,Arfingo Dage,Adula forest,,354590.0,965975.0,, 8.73650° N, 37.67811° E
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354644.0,965985.0,, 8.73659° N, 37.67860° E
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354774.0,965936.0,, 8.73615° N, 37.67979° E
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354860.0,965921.0,, 8.73602° N, 37.68057° E
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354899.0,965965.0,, 8.73642° N, 37.68092° E
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354977.0,965876.0,, 8.73561° N, 37.68163° E
,West Showa,DireInchini,Arfingo Dage,Adula forest,,355014.0,965891.0,, 8.73575° N, 37.68197° E
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354966.0,966048.0,, 8.73717° N, 37.68153° E
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354990.0,966139.0,, 8.73799° N, 37.68174° E
,West Showa,DireInchini,Arfingo Dage,Adula forest,,355203.0,966021.0,, 8.73693° N, 37.68368° E
,West Showa,DireInchini,Arfingo Dage,Adula forest,,355198.0,965955.0,, 8.73634° N, 37.68364° E
